"","Year","Mileage","Price","Color","Location","Model","Age"
"49",2006,43050,9599,"blue","Fresno","SE",3
"50",2006,55377,10995,"gray","Fresno","SEL",3
"51",2006,46834,10995,"gray","Fresno","SEL",3
"52",2006,40832,9499,"white","Fresno","SE",3
"53",2006,61831,7995,"white","Fresno","SE",3
"54",2006,23776,10599,"beige","Phoenix","SE",3
"55",2006,39032,9551,"blue","Phoenix","SE",3
"56",2006,51440,8998,"burgundy","Phoenix","SE",3
"57",2006,68096,6500,"gold","Phoenix","SEL",3
"58",2006,46313,6995,"gold","Phoenix","SE",3
"59",2006,NA,4295,"gold","Phoenix","SE",3
"60",2006,54000,NA,"gold","Phoenix","SE",3
"61",2006,48410,NA,"gray","Phoenix","SEL",3
"62",2006,35784,8999,"green","Phoenix","SEL",3
"63",2006,58507,8022,"green","Phoenix","SE",3
"64",2006,43425,13995,"gray","Phoenix","SEL",3
"65",2006,28981,10998,"gray","Phoenix","SE",3
"66",2006,40396,10349,"gray","Phoenix","SEL",3
"67",2006,32861,7988,"white","Phoenix","SE",3
"68",2006,50081,6800,"white","Phoenix","SE",3
"69",2006,49391,6700,"gray","Phoenix","SE",3
"70",2007,44561,9995,"brown","Fresno","SE",2
"71",2007,44580,9714,"gold","Fresno","SE",2
"72",2007,44604,9714,"gold","Fresno","SE",2
"73",2007,42421,9714,"gold","Fresno","SE",2
"74",2007,38871,NA,"gray","Fresno","SEL",2
"75",2007,45559,7995,"green","Fresno","SE",2
"76",2007,39174,NA,"blue","Fresno","SE",2
"77",2007,41503,9714,"gray","Fresno","SE",2
"78",2007,42513,9714,"gray","Fresno","SE",2
"79",2007,41693,9714,"gray","Fresno","SE",2
"80",2007,47595,9995,"gray","Fresno","SEL",2
"81",2007,44650,7998,"white","Fresno","SE",2
"82",2007,43050,10237,"blue","Phoenix","SEL",2
"83",2007,26000,6500,"burgundy","Phoenix","SEL",2
"84",2007,36638,8997,"gold","Phoenix","SE",2
"85",2007,40449,8998,"gold","Phoenix","SE",2
"86",2007,27752,11995,"gray","Phoenix","SE",2
"87",2007,49541,8999,"gray","Phoenix","SE",2
"88",2007,39029,10488,"gray","Phoenix","SE",2
"89",2007,37006,9535,"gray","Phoenix","SE",2
"90",2007,41717,8998,"gray","Phoenix","SE",2
"91",2007,40998,8988,"white","Phoenix","SE",2
"92",2008,9248,14998,"white","Fresno","SEL",1
"93",2008,24034,NA,"gray","Fresno","SEL",1
"94",2008,16396,19995,"blue","Phoenix","SEL",1
"95",2008,20930,17288,"blue","Phoenix","Limited",1
"96",2008,12584,15975,"blue","Phoenix","SEL",1
"97",2008,15835,16988,"burgundy","Phoenix","SEL",1
"98",2008,9779,19788,"blue","Phoenix","Limited",1
"99",2008,24219,15988,"blue","Phoenix","SEL",1
"100",2008,15603,18288,"gray","Phoenix","Limited",1
"101",2008,18487,17445,"red","Phoenix","Limited",1
"102",2008,19267,17287,"gray","Phoenix","Limited",1
"103",2008,15896,18995,"gray","Phoenix","Limited",1
"104",2008,12958,16995,"gray","Phoenix","SEL",1
"105",2008,14551,18388,"white","Phoenix","Limited",1
"106",2008,8587,15991,"white","Phoenix","Limited",1
"107",2009,4424,21995,"black","Phoenix","SEL",0
"108",2009,9307,19488,"white","Phoenix","SEL",0
"109",2008,20074,19995,"white","Cambridge","Limited",1
"110",2008,17265,19900,"blue","Cambridge","Limited",1
"111",2008,20707,18999,"gray","Cambridge","SEL",1
"112",2008,17912,18999,"white","Cambridge","SEL",1
"113",2008,25896,18990,"blue","Cambridge","SEL",1
"114",2008,22626,17999,"gray","Cambridge","SEL",1
"115",2008,19633,17900,"black","Cambridge","SEL",1
"116",2008,17580,17899,"gray","Cambridge","SEL",1
"117",2008,16302,17888,"gray","Cambridge","SEL",1
"118",2008,15261,17688,"black","Cambridge","Limited",1
"119",2008,13697,17490,"black","Cambridge","SEL",1
"120",2008,12781,17225,"gray","Cambridge","Limited",1
"121",2008,7100,16999,"gray","Cambridge","SEL",1
"122",2008,5872,16999,"gray","Cambridge","SEL",1
"123",2008,11344,16995,"gray","Cambridge","SEL",1
"124",2008,23665,16995,"blue","Cambridge","SEL",1
"125",2008,22186,16990,"burgundy","Cambridge","SEL",1
"126",2008,14330,16955,"blue","Cambridge","SEL",1
"127",2008,13811,16900,"white","Cambridge","SEL",1
"128",2008,39105,16450,"black","Cambridge","SEL",1
"129",2008,24398,15999,"gray","Cambridge","SEL",1
"130",2008,25316,15999,"gray","Cambridge","SEL",1
"131",2008,15779,15994,"black","Cambridge","Limited",1
"132",2008,61067,15990,"gray","Cambridge","SEL",1
"133",2008,8381,15988,"gray","Cambridge","SEL",1
"134",2008,26306,15900,"white","Cambridge","SEL",1
"135",2008,26306,15776,"blue","Cambridge","SEL",1
"136",2008,35486,14999,"gray","Cambridge","Limited",1
"137",2008,33300,14999,"gray","Cambridge","Limited",1
"138",2008,19342,14992,"burgundy","Cambridge","SEL",1
"139",2008,27611,14975,"beige","Cambridge","SEL",1
"140",2008,26649,14706,"burgundy","Cambridge","Limited",1
"141",2008,32595,13998,"green","Cambridge","SEL",1
"142",2008,28662,13941,"gray","Cambridge","SEL",1
"143",2008,31051,13528,"gray","Cambridge","SEL",1
"144",2007,16096,12999,"black","Cambridge","SEL",2
"145",2007,32525,12995,"burgundy","Cambridge","SEL",2
"146",2006,41558,12685,"gray","Cambridge","SEL",3
"147",2006,44749,11885,"gray","Cambridge","SEL",3
"148",2007,30544,11665,"gray","Cambridge","SE",2
"149",2007,43559,11485,"red","Cambridge","SEL",2
"150",2007,34479,10999,"black","Cambridge","SE",2
"151",2007,33756,10995,"green","Cambridge","SE",2
"152",2006,39756,10994,"gray","Cambridge","SE",3
"153",2004,59721,10988,"brown","Cambridge","SEL",5
"154",2007,33319,10865,"gray","Cambridge","SE",2
"155",2007,34832,10695,"black","Cambridge","SE",2
"156",2007,43236,10491,"beige","Cambridge","SE",2
"157",2006,65484,10213,"gray","Cambridge","SE",3
"158",2006,30426,9999,"white","Cambridge","SE",3
"159",2006,46142,9995,"gray","Cambridge","SE",3
"160",2005,67039,9995,"gray","Cambridge","SE",4
"161",2006,50331,9995,"gray","Cambridge","SE",3
"162",2005,72785,9995,"white","Cambridge","SEL",4
"163",2006,39739,9995,"beige","Cambridge","SEL",3
"164",2006,52218,9995,"gray","Cambridge","SEL",3
"165",2006,44025,9995,"green","Cambridge","SEL",3
"166",2007,40752,9995,"gray","Cambridge","SE",2
"167",2007,30114,9988,"gray","Cambridge","SEL",2
"168",2006,49777,9987,"beige","Cambridge","SEL",3
"169",2006,51300,9977,"blue","Cambridge","SE",3
"170",2006,71633,9975,"black","Cambridge","SE",3
"171",2006,38000,9938,"beige","Cambridge","SEL",3
"172",2007,52009,9499,"green","Cambridge","SEL",2
"173",2007,35676,9444,"gray","Cambridge","SE",2
"174",2006,45000,9000,"burgundy","Cambridge","SE",3
"175",2005,53039,8999,"gray","Cambridge","SE",4
"176",2006,66957,8999,"burgundy","Cambridge","SE",3
"177",2003,51647,8995,"black","Cambridge","SEL",6
"178",2004,38390,8995,"burgundy","Cambridge","SE",5
"179",2007,46403,8995,"gray","Cambridge","SE",2
"180",2006,48358,8995,"red","Cambridge","SE",3
"181",2005,68349,8995,"white","Cambridge","SE",4
"182",2003,62230,8991,"gray","Cambridge","SE",6
"183",2005,39971,8980,"brown","Cambridge","SE",4
"184",2006,45222,8950,"blue","Cambridge","SE",3
"185",2007,40419,8940,"green","Cambridge","SE",2
"186",2005,53235,8742,"beige","Cambridge","SEL",4
"187",2005,69371,8588,"beige","Cambridge","SEL",4
"188",2005,46087,8587,"gray","Cambridge","SE",4
"189",2005,38610,8495,"gray","Cambridge","SE",4
"190",2005,75809,8195,"red","Cambridge","SE",4
"191",2004,56158,8174,"gray","Cambridge","SE",5
"192",2006,60000,8000,"beige","Cambridge","SE",3
"193",2003,45807,7999,"white","Cambridge","SEL",6
"194",2005,78492,7999,"black","Cambridge","SEL",4
"195",2007,73342,7995,"gray","Cambridge","SE",2
"196",2004,54951,7995,"burgundy","Cambridge","SE",5
"197",2004,52752,7995,"green","Cambridge","SE",5
"198",2005,57909,7995,"black","Cambridge","SE",4
"199",2003,70313,7990,"gray","Cambridge","SES",6
"200",2005,48040,7990,"black","Cambridge","SE",4
"201",2004,66540,7944,"burgundy","Cambridge","SES",5
"202",2005,66783,7863,"beige","Cambridge","SE",4
"203",2003,82785,7497,"gray","Cambridge","SE",6
"204",2005,49150,7450,"beige","Cambridge","SEL",4
"205",2003,49275,7288,"green","Cambridge","SES",6
"206",2004,66227,7225,"black","Cambridge","SES",5
"207",2003,73614,6999,"gray","Cambridge","SES",6
"208",2001,68230,6999,"green","Cambridge","SE",8
"209",2002,37145,6995,"beige","Cambridge","SES",7
"210",2006,66662,6995,"burgundy","Cambridge","SE",3
"211",2003,71291,6995,"black","Cambridge","SES",6
"212",2008,77908,6995,"beige","Cambridge","Limited",1
"213",2006,72781,6509,"gray","Cambridge","SE",3
"214",2002,74999,6495,"white","Cambridge","SES",7
"215",2005,55637,6495,"beige","Cambridge","SE",4
"216",2007,40035,6477,"red","Cambridge","SE",2
"217",2004,86411,6417,"gray","Cambridge","SE",5
"218",2003,139950,6048,"gray","Cambridge","SEL",6
"219",2004,82000,6000,"green","Cambridge","SES",5
"220",2003,58204,5999,"gray","Cambridge","SES",6
"221",2005,53870,5995,"green","Cambridge","SE",4
"222",2002,59990,5995,"beige","Cambridge","SES",7
"223",2004,51000,5995,"black","Cambridge","SE",5
"224",1998,39000,5995,"green","Cambridge","SE",11
"225",2001,81000,5850,"red","Cambridge","SES",8
"226",2000,70000,5850,"red","Cambridge","SES",9
"227",2003,91160,5837,"red","Cambridge","SE",6
"228",2002,86795,5652,"gray","Cambridge","SE",7
"229",2002,69998,5495,"gray","Cambridge","SE",7
"230",2006,44935,5477,"gray","Cambridge","SE",3
"231",2001,86000,5395,"red","Cambridge","SES",8
"232",2006,73918,4900,"gray","Cambridge","SE",3
"233",2002,52000,4850,"blue","Cambridge","SES",7
"234",1999,52032,4500,"green","Cambridge","LX",10
"235",2002,68282,4477,"red","Cambridge","SE",7
"236",1999,76000,3999,"gray","Cambridge","SES",10
"237",2002,74012,3995,"red","Cambridge","SES",7
"238",2002,143414,3995,"gray","Cambridge","SE",7
"239",2001,137000,3900,"gray","Cambridge","SES",8
"240",1996,81290,3495,"black","Cambridge","GL",13
"241",2003,147155,3000,"beige","Cambridge","SES",6
"242",2002,130061,2995,"black","Cambridge","SE",7
"243",1997,89654,2995,"green","Cambridge","GL",12
"244",1998,92701,2495,"beige","Cambridge","SE",11
"245",2002,181484,2000,"black","Cambridge","SEL",7
"246",1999,160219,2000,"blue","Cambridge","SE",10
"247",2000,104802,1975,"beige","Cambridge","SES",9
"248",1998,112174,1500,"burgundy","Cambridge","SE",11
"249",1999,99000,1500,"black","Cambridge","LX",10
"250",2009,10638,21792,"white","Philadelphia","Limited",0
"251",2008,14918,20990,"white","Philadelphia","SEL",1
"252",2008,16787,19998,"black","Philadelphia","Limited",1
"253",2008,46,19995,"burgundy","Philadelphia","SEL",1
"254",2008,4853,19990,"beige","Philadelphia","SEL",1
"255",2008,14924,19977,"black","Philadelphia","Limited",1
"256",2008,42,19977,"white","Philadelphia","SEL",1
"257",2007,33879,19950,"gray","Philadelphia","SE",2
"258",2008,16020,18995,"brown","Philadelphia","SEL",1
"259",2008,13873,18977,"white","Philadelphia","Limited",1
"260",2008,15516,17988,"gray","Philadelphia","SEL",1
"261",2008,13942,17488,"gray","Philadelphia","SEL",1
"262",2008,10663,16270,"red","Philadelphia","SEL",1
"263",2008,13418,15995,"black","Philadelphia","SEL",1
"264",2008,21306,14995,"gray","Philadelphia","SEL",1
"265",2008,24633,14995,"white","Philadelphia","SEL",1
"266",2008,22327,14977,"burgundy","Philadelphia","SEL",1
"267",2008,22372,13995,"blue","Philadelphia","SEL",1
"268",2008,30979,13990,"gray","Philadelphia","SEL",1
"269",2007,27966,12990,"green","Philadelphia","SEL",2
"270",2007,27302,11999,"green","Philadelphia","SE",2
"271",2003,39583,11990,"black","Philadelphia","SEL",6
"272",2007,43576,11990,"blue","Philadelphia","SEL",2
"273",2007,27757,11977,"blue","Philadelphia","SE",2
"274",2006,26217,11690,"black","Philadelphia","SE",3
"275",2007,31291,11478,"burgundy","Philadelphia","SE",2
"276",2007,33000,10995,"blue","Philadelphia","SEL",2
"277",2007,34004,10995,"beige","Philadelphia","SEL",2
"278",2005,38529,10995,"beige","Philadelphia","SEL",4
"279",2007,48309,10990,"brown","Philadelphia","SE",2
"280",2007,32513,10988,"beige","Philadelphia","SE",2
"281",2007,31819,10988,"gray","Philadelphia","SE",2
"282",2006,29090,10950,"green","Philadelphia","SE",3
"283",2006,49139,10933,"beige","Philadelphia","SE",3
"284",2007,37029,10900,"gray","Philadelphia","SE",2
"285",2005,32777,10498,"beige","Philadelphia","SE",4
"286",2002,31760,9999,"beige","Philadelphia","SEL",7
"287",2007,35656,9995,"gray","Philadelphia","SE",2
"288",2006,35185,9995,"red","Philadelphia","SE",3
"289",2007,27156,9995,"gray","Philadelphia","SE",2
"290",2007,31777,9995,"burgundy","Philadelphia","SE",2
"291",2007,28983,9995,"gray","Philadelphia","SE",2
"292",2007,37565,9990,"blue","Philadelphia","SE",2
"293",2006,53853,9990,"gray","Philadelphia","SE",3
"294",2006,49326,9990,"white","Philadelphia","SE",3
"295",2007,33375,9977,"red","Philadelphia","SE",2
"296",2007,53357,9900,"black","Philadelphia","SE",2
"297",2004,47844,9550,"burgundy","Philadelphia","SEL",5
"298",2006,40241,9255,"gray","Philadelphia","SE",3
"299",2005,69253,9000,"gray","Philadelphia","SE",4
"300",2001,54392,8999,"blue","Philadelphia","SES",8
"301",2007,53771,8995,"beige","Philadelphia","SE",2
"302",2006,40268,8995,"white","Philadelphia","SE",3
"303",2007,34366,8995,"beige","Philadelphia","SE",2
"304",2007,61312,8995,"gray","Philadelphia","SE",2
"305",2003,42612,8995,"gray","Philadelphia","SE",6
"306",2007,61339,8995,"burgundy","Philadelphia","SE",2
"307",2006,28335,8977,"beige","Philadelphia","SE",3
"308",2007,40853,8945,"beige","Philadelphia","SEL",2
"309",2006,50526,8900,"gray","Philadelphia","SE",3
"310",2006,50165,8900,"beige","Philadelphia","SE",3
"311",2007,38607,8884,"beige","Philadelphia","SE",2
"312",2003,34486,8495,"red","Philadelphia","SEL",6
"313",2006,50683,8495,"red","Philadelphia","SEL",3
"314",2002,30889,8400,"beige","Philadelphia","SEL",7
"315",2005,42438,7999,"beige","Philadelphia","SE",4
"316",2002,78160,7995,"white","Philadelphia","SES",7
"317",2001,118009,7995,"white","Philadelphia","SES",8
"318",2007,81100,7995,"black","Philadelphia","SE",2
"319",2005,63263,7995,"gray","Philadelphia","SE",4
"320",2004,70368,7995,"gray","Philadelphia","SEL",5
"321",2003,66013,7995,"beige","Philadelphia","SES",6
"322",2005,43675,7991,"white","Philadelphia","SE",4
"323",2006,67203,7990,"green","Philadelphia","SE",3
"324",2006,68294,7990,"gray","Philadelphia","SE",3
"325",2006,36050,7990,"green","Philadelphia","SE",3
"326",2005,56351,7990,"red","Philadelphia","SE",4
"327",2004,31392,7990,"black","Philadelphia","SE",5
"328",2004,53700,7890,"gray","Philadelphia","SE",5
"329",2006,56857,7843,"gray","Philadelphia","SE",3
"330",2006,82576,7495,"gray","Philadelphia","SE",3
"331",2004,39864,7240,"white","Philadelphia","SES",5
"332",2006,66559,6998,"gray","Philadelphia","SE",3
"333",2005,72808,6995,"black","Philadelphia","SEL",4
"334",1999,120445,6995,"green","Philadelphia","LX",10
"335",2003,86977,6995,"gray","Philadelphia","SE",6
"336",2003,79055,6995,"green","Philadelphia","SEL",6
"337",2002,63548,6995,"gray","Philadelphia","SEL",7
"338",2003,66231,6995,"gray","Philadelphia","SE",6
"339",2003,83708,6990,"red","Philadelphia","SES",6
"340",2004,62460,6990,"beige","Philadelphia","SES",5
"341",2004,61743,6988,"black","Philadelphia","SES",5
"342",2005,60505,6745,"gray","Philadelphia","SE",4
"343",2002,72599,6495,"beige","Philadelphia","SE",7
"344",2005,58630,6490,"burgundy","Philadelphia","SE",4
"345",2005,51516,6350,"gray","Philadelphia","SE",4
"346",2005,71321,6250,"black","Philadelphia","SE",4
"347",2005,77719,6250,"white","Philadelphia","SE",4
"348",2002,57936,5999,"gray","Philadelphia","SES",7
"349",2001,70292,5995,"beige","Philadelphia","SE",8
"350",2006,84127,5995,"gray","Philadelphia","SE",3
"351",2002,67477,5995,"gray","Philadelphia","SE",7
"352",1999,66668,5988,"burgundy","Philadelphia","SE",10
"353",2002,80185,5988,"black","Philadelphia","SES",7
"354",1999,67202,5963,"red","Philadelphia","SE",10
"355",1999,95909,5950,"green","Philadelphia","SE",10
"356",2003,63000,5499,"blue","Philadelphia","SEL",6
"357",2003,103826,5495,"burgundy","Philadelphia","SE",6
"358",2003,84900,5495,"white","Philadelphia","SES",6
"359",2003,67005,5490,"gray","Philadelphia","LX",6
"360",2002,78353,5450,"burgundy","Philadelphia","SE",7
"361",2001,111572,4998,"green","Philadelphia","SE",8
"362",1999,53216,4995,"green","Philadelphia","SE",10
"363",2002,85134,4995,"beige","Philadelphia","SES",7
"364",2001,108000,4990,"beige","Philadelphia","SES",8
"365",2000,77752,4977,"green","Philadelphia","SES",9
"366",2002,105475,4790,"gray","Philadelphia","SE",7
"367",1999,65628,4500,"gray","Philadelphia","SE",10
"368",2002,90000,4495,"green","Philadelphia","SES",7
"369",2001,122084,4480,"blue","Philadelphia","SE",8
"370",2001,73825,4050,"gray","Philadelphia","SES",8
"371",2003,84046,3995,"gray","Philadelphia","SES",6
"372",1996,112559,3995,"green","Philadelphia","LX",13
"373",2000,98194,3995,"beige","Philadelphia","SE",9
"374",2001,100500,3995,"blue","Philadelphia","SEL",8
"375",1997,128274,3995,"green","Philadelphia","GL",12
"376",2000,103825,3900,"red","Philadelphia","SE",9
"377",1998,86100,3895,"green","Philadelphia","SE",11
"378",2000,147234,3819,"gray","Philadelphia","SES",9
"379",2001,143893,3495,"gray","Philadelphia","SES",8
"380",1996,81722,2999,"white","Philadelphia","LX",13
"381",1999,119633,2995,"burgundy","Philadelphia","SE",10
"382",1999,109052,2995,"red","Philadelphia","SE",10
"383",1997,109216,2995,"gray","Philadelphia","GL",12
"384",1996,118315,2950,"white","Philadelphia","GL",13
"385",1999,121099,2747,"green","Philadelphia","SE",10
"386",1999,134262,1995,"gray","Philadelphia","SE",10
"387",2006,44185,9925,"beige","St Paul","SEL",3
"388",2008,36477,16491,"beige","Dallas","Limited",1
"389",2006,17196,15995,"beige","Dallas","SEL",3
"390",2006,44295,10990,"beige","Dallas","SE",3
"391",2007,41774,10899,"beige","Dallas","SEL",2
"392",2007,48656,10777,"beige","Dallas","SEL",2
"393",2006,50229,9899,"beige","Dallas","SE",3
"394",2004,43571,8950,"beige","Dallas","SEL",5
"395",2006,74876,8409,"beige","Dallas","SEL",3
"396",2003,76465,5950,"beige","Dallas","SES",6
"397",2002,76063,4995,"beige","Dallas","SE",7
"398",2002,96358,3988,"beige","Dallas","SE",7
"399",2002,123147,3500,"beige","Dallas","SES",7
"400",2005,52804,8982,"beige","St Paul","SEL",4
"401",2005,57910,8900,"beige","St Paul","SE",4
"402",2007,37797,8488,"beige","St Paul","SE",2
"403",2007,42810,8400,"beige","St Paul","SE",2
"404",2005,74483,7999,"beige","St Paul","SE",4
"405",2005,70830,6990,"beige","St Paul","SE",4
"406",1994,128413,1599,"beige","St Paul","GL",15
"407",2009,5625,19977,"black","St Paul","SEL",0
"408",2008,8909,18997,"black","St Paul","Limited",1
"409",2008,15581,17999,"black","St Paul","SEL",1
"410",2008,22042,17499,"black","St Paul","SEL",1
"411",2008,27810,16588,"black","St Paul","Limited",1
"412",2008,26926,13985,"black","St Paul","SEL",1
"413",2008,30919,13980,"black","St Paul","SEL",1
"414",1998,176634,9999,"black","Dallas","SE",11
"415",2007,34279,9991,"black","Dallas","SE",2
"416",2007,42827,9899,"black","Dallas","SE",2
"417",2003,72861,4995,"black","Dallas","SE",6
"418",2004,79650,4950,"black","Dallas","SE",5
"419",2003,106325,3995,"black","Dallas","SE",6
"420",2007,36610,8988,"black","St Paul","SE",2
"421",2003,77905,6995,"black","St Paul","SES",6
"422",2002,134000,5995,"black","St Paul",NA,7
"423",2000,64600,5995,"black","St Paul","SE",9
"424",1998,87102,3999,"black","St Paul","SE",11
"425",1998,112049,3995,"black","St Paul","SE",11
"426",1997,137259,2988,"black","St Paul","LX",12
"427",1994,178526,1995,"black","St Paul","GL",15
"428",2008,18544,16988,"blue","St Paul","SEL",1
"429",2008,18169,16988,"blue","St Paul","SEL",1
"430",2008,15932,15797,"blue","St Paul","SEL",1
"431",2008,24237,15488,"blue","St Paul","SEL",1
"432",2008,42371,14997,"blue","St Paul","SEL",1
"433",2008,21038,13997,"blue","St Paul","SEL",1
"434",2008,29768,13997,"blue","St Paul","SEL",1
"435",2008,18199,13995,"blue","St Paul","SEL",1
"436",2008,21199,13980,"blue","St Paul","SEL",1
"437",2007,35792,12990,"blue","St Paul","SEL",2
"438",2008,21501,12680,"blue","St Paul","SEL",1
"439",2007,34338,10395,"blue","St Paul","SEL",2
"440",2007,44552,9990,"blue","St Paul","SE",2
"441",2008,14588,16954,"blue","Dallas","SEL",1
"442",2007,38701,9341,"blue","Dallas","SE",2
"443",2001,54291,6991,"blue","Dallas","SES",8
"444",2001,69730,5591,"blue","Dallas","SE",8
"445",2000,129877,4450,"blue","Dallas","SE",9
"446",1993,120825,1995,"blue","Dallas","GL",16
"447",2007,38517,8995,"blue","St Paul","SEL",2
"448",2001,93310,7000,"blue","St Paul","LX",8
"449",2000,116861,4490,"blue","St Paul","SE",9
"450",1999,122074,2995,"blue","St Paul","LX",10
"451",1999,141263,2450,"blue","St Paul","SE",10
"452",2007,36389,11988,"burgundy","St Paul","SEL",2
"453",2008,18200,16000,"burgundy","St Paul","SEL",1
"454",2008,19714,14497,"burgundy","St Paul","SEL",1
"455",2008,13929,14480,"burgundy","St Paul","SEL",1
"456",2008,23966,13997,"burgundy","St Paul","SEL",1
"457",2007,51984,9950,"burgundy","St Paul","SEL",2
"458",2001,34553,9477,"burgundy","St Paul","SE",8
"459",2008,35952,14292,"burgundy","Dallas","SEL",1
"460",2006,44415,11995,"burgundy","Dallas","SE",3
"461",2007,49346,9950,"burgundy","Dallas","SE",2
"462",2007,49674,9480,"burgundy","Dallas","SE",2
"463",2005,54763,8999,"burgundy","Dallas","SEL",4
"464",2006,37701,8999,"burgundy","Dallas","SE",3
"465",2005,74223,8988,"burgundy","Dallas","SEL",4
"466",2000,60481,7998,"burgundy","Dallas","SES",9
"467",2006,86414,7995,"burgundy","Dallas","SEL",3
"468",2006,88204,7875,"burgundy","Dallas","SEL",3
"469",2005,65414,7493,"burgundy","Dallas","SEL",4
"470",2007,48140,6993,"burgundy","Dallas","SE",2
"471",2002,121000,3500,"burgundy","Dallas","SE",7
"472",2000,95233,7990,"burgundy","St Paul","SE",9
"473",2005,76389,7192,"burgundy","St Paul","SE",4
"474",2002,125589,4990,"burgundy","St Paul","SES",7
"475",2008,15007,15998,"gold","Dallas","SEL",1
"476",2005,38462,10995,"gold","Dallas","SE",4
"477",2006,43593,10990,"gold","Dallas","SE",3
"478",2006,65956,8999,"gold","Dallas","SEL",3
"479",2007,86910,8995,"gold","Dallas","SE",2
"480",2001,110903,4995,"gold","Dallas","LX",8
"481",2000,77028,4886,"gold","Dallas","SE",9
"482",2001,152011,3995,"gold","Dallas","SE",8
"483",2001,164840,3995,"gold","St Paul","SES",8
"484",1999,NA,3450,"gold","St Paul","SE",10
"485",1998,NA,2950,"gold","St Paul","SE",11
"486",2009,5384,19997,"gray","St Paul","Limited",0
"487",2008,10966,19995,"gray","St Paul","Limited",1
"488",2008,10641,16998,"gray","St Paul","SEL",1
"489",2008,9598,16988,"gray","St Paul","SEL",1
"490",2008,14579,16988,"gray","St Paul","SEL",1
"491",2008,17948,16988,"gray","St Paul","SEL",1
"492",2008,14909,16988,"gray","St Paul","Limited",1
"493",2008,13294,16988,"gray","St Paul","SEL",1
"494",2008,27198,16884,"gray","St Paul","SEL",1
"495",2008,20004,16777,"gray","St Paul","SEL",1
"496",2008,21298,15997,"gray","St Paul","SEL",1
"497",2008,20129,14997,"gray","St Paul","SEL",1
"498",2008,13821,14995,"gray","St Paul","SEL",1
"499",2008,21031,14980,"gray","St Paul","SEL",1
"500",2008,22736,14980,"gray","St Paul","Limited",1
"501",2007,35810,11291,"gray","St Paul","SEL",2
"502",2006,41563,10995,"gray","St Paul","SEL",3
"503",2003,99365,9990,"gray","St Paul","SEL",6
"504",2007,32296,9988,"gray","St Paul","SE",2
"505",2007,37864,9988,"gray","St Paul","SE",2
"506",2008,9898,17981,"gray","Dallas","SEL",1
"507",2008,14636,17981,"gray","Dallas","SEL",1
"508",2008,27425,17981,"gray","Dallas","SEL",1
"509",2008,23418,16350,"gray","Dallas","SEL",1
"510",2006,11192,15995,"gray","Dallas","SEL",3
"511",2006,14490,15995,"gray","Dallas","SEL",3
"512",2008,13733,15988,"gray","Dallas","SEL",1
